src.fid;src.device_id;src.ab_eoi_code;Status;src.network;Region;Gewest;Municipality;Gemeente;src.Name;src.timestamp;src.Value;Google Maps;Google Street View;Geo Point
pm10_hmean_station.fid--17262e03_197a4795c21_-46e3;6880;BETH201;Active;Wallonia;;;;;43H201 - Liège;2025-06-23T13:00:00+02:00;4;https://www.google.com/maps/search/?api=1&query=146700%2C233400;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=146700%2C233400;50.62499156889806, 5.547464182570819
pm10_hmean_station.fid--17262e03_197a4795c21_-47f3;6531;BETB011;Active;Brussels;;;;;41B011 - Berchem-Sainte-Agathe;2025-06-23T16:00:00+02:00;18;https://www.google.com/maps/search/?api=1&query=171963%2C144338;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=171963%2C144338;50.85803059327685, 4.288336366305905
pm10_hmean_station.fid--17262e03_197a4795c21_-46e1;6892;BETN060;Active;Wallonia;;;;;43N060 - Havinnes;2025-06-23T13:00:00+02:00;7;https://www.google.com/maps/search/?api=1&query=145512%2C85521;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=145512%2C85521;50.61671840179383, 3.4576244271817296
pm10_hmean_station.fid--17262e03_197a4795c21_-47e6;6716;BETN035;Active;Flanders;;;;;42N035 - Aarschot;2025-06-23T16:00:00+02:00;26;https://www.google.com/maps/search/?api=1&query=185359%2C182928;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=185359%2C182928;50.97754137811419, 4.837618015698616
pm10_hmean_station.fid--17262e03_197a4795c21_-46db;6936;BETN085;Active;Wallonia;;;;;43N085 - Vielsalm;2025-06-23T13:00:00+02:00;8;https://www.google.com/maps/search/?api=1&query=111525%2C266325;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=111525%2C266325;50.30320782818856, 6.001736288537825
pm10_hmean_station.fid--17262e03_197a4795c21_-47d0;6919;BETN070;Active;Wallonia;;;;;43N070 - Mons;2025-06-23T16:00:00+02:00;22;https://www.google.com/maps/search/?api=1&query=128350%2C119540;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=128350%2C119540;50.46519215642684, 3.9397143255238394
pm10_hmean_station.fid--17262e03_197a4795c21_-46d6;6970;BETN132;Active;Wallonia;;;;;43N132 - Habay-La-Neuve;2025-06-23T13:00:00+02:00;3;https://www.google.com/maps/search/?api=1&query=46070%2C240980;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=46070%2C240980;49.71928118788111, 5.630397740609144
pm10_hmean_station.fid--17262e03_197a4795c21_-47cd;6943;BETN093;Active;Wallonia;;;;;43N093 - Sinsin;2025-06-23T16:00:00+02:00;12;https://www.google.com/maps/search/?api=1&query=107410%2C211760;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=107410%2C211760;50.27447751094961, 5.235168654774107
pm10_hmean_station.fid--17262e03_197a4795c21_-46d5;100029;BETR202;"Empty or value=""-9999""";Wallonia;;;;;43R202 - Liège;2025-06-23T13:00:00+02:00;;https://www.google.com/maps/search/?api=1&query=148172%2C235097;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=148172%2C235097;50.63797831100492, 5.571781423606139
pm10_hmean_station.fid--17262e03_197a4795c21_-47c7;6993;BETR221;Active;Wallonia;;;;;43R221 - Liège;2025-06-23T16:00:00+02:00;37;https://www.google.com/maps/search/?api=1&query=150514%2C239023;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=150514%2C239023;50.658444416786566, 5.627835290852658
pm10_hmean_station.fid--17262e03_197a4795c21_-46c9;7092;BETR710;Active;Flanders;;;;;44R710 - Destelbergen;2025-06-23T13:00:00+02:00;14;https://www.google.com/maps/search/?api=1&query=194736%2C108394;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=194736%2C108394;51.06127769765455, 3.7752623896453605
pm10_hmean_station.fid--17262e03_197a4795c21_-47c5;7008;BETR223;Active;Wallonia;;;;;43R223 - Jemeppe;2025-06-23T16:00:00+02:00;17;https://www.google.com/maps/search/?api=1&query=146185%2C231210;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=146185%2C231210;50.6206708788392, 5.516404755142998
pm10_hmean_station.fid--17262e03_197a4795c21_-46c6;6334;BELRL01;Active;Flanders;;;;;44RL01 - Roeselare;2025-06-23T13:00:00+02:00;35;https://www.google.com/maps/search/?api=1&query=183280%2C62340;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=183280%2C62340;50.95317728023859, 3.121155598901244
